           -           -           -           -           -           -           -           -  
           -           -           -           -           -  

  SLICE      1           2           3           4           5           6           7           8
 HPO4 -0.1375D-05 -0.2031D-06  0.1926D-07 -0.7689D-08 -0.9168D-08 -0.5581D-08 -0.3671D-08 -0.2270D-06
H2PO4 -0.1110D-05 -0.1188D-06 -0.2892D-06 -0.1273D-06 -0.5928D-07 -0.2767D-07 -0.1130D-07 -0.2626D-06
 UREA -0.5203D-05 -0.2895D-05 -0.2725D-05 -0.5998D-06  0.5565D-06 -0.2941D-05 -0.3422D-06 -0.1575D-05
 NH3   0.8204D-06 -0.1199D-07  0.8611D-07  0.2212D-07  0.7020D-08  0.3105D-08  0.6839D-09  0.2496D-06
 NH4+  0.2359D-06 -0.1707D-05 -0.4152D-06 -0.1804D-06 -0.8861D-07 -0.5523D-07 -0.1766D-07 -0.1044D-05

  ITER=  1
           --          --          --          --          --          --          --          --      
           --          --          --          --          --      

  SLICE      1           2           3           4           5           6           7           8

 VOL     0.9985D+01  0.1143D+02 -0.1314D+01 -0.1256D+01 -0.7153D+00  0.6555D+00 -0.9349D+00  0.1014D+02
  NA     0.1576D+00  0.1715D+00  0.1748D+00  0.1764D+00  0.1770D+00  0.1772D+00  0.1819D+00  0.1440D+00
  K        --          --          --          --          --          --          --          --      
  CL     0.1422D+00  0.1604D+00  0.1736D+00  0.1778D+00  0.1796D+00  0.1805D+00  0.1854D+00  0.1261D+00
 HCO3      --          --          --          --          --          --          --          --      
H2CO3      --          --          --          --          --          --          --          --      
 CO2       --          --          --          --          --          --          --          --      
 HPO4      --          --          --          --          --          --          --          --      
H2PO4      --          --          --          --          --          --          --          --      
 UREA      --          --          --          --          --          --          --          --      
 NH3       --          --          --          --          --          --          --          --      
 NH4+      --          --          --          --          --          --          --          --      
  H+       --          --          --          --          --          --          --          --      
HCO2-      --          --          --          --          --          --          --          --      
H2CO2      --          --          --          --          --          --          --          --      
 GLUC      --          --          --          --          --          --          --          --      

        -0.6281D-01 -0.1521D-01 -0.2313D-01 -0.2816D-01 -0.1199D-01 -0.2573D-01 -0.6046D-02 -0.2738D-01
        -0.2916D-02 -0.4302D-01 -0.1470D-02 -0.4616D-01 -0.7683D-01

  SLICE      1           2           3           4           5           6           7           8

 VOL     0.5551D-07  0.1114D-06  0.2058D-07  0.8525D-08  0.3446D-08  0.9476D-09  0.2565D-09 -0.3511D-07
  NA     0.3877D-08  0.1693D-08  0.4541D-08  0.2355D-08  0.1156D-08  0.5191D-09  0.2218D-09 -0.2544D-08
  K      0.1126D-08  0.6525D-08  0.7933D-09  0.3605D-09  0.1606D-09  0.6633D-10  0.2469D-10 -0.6181D-09
  CL     0.9758D-17 -0.1914D-16 -0.2277D-17 -0.1979D-17  0.2862D-16  0.2378D-16 -0.1802D-16 -0.3307D-17
 TCO2   -0.4441D-15 -0.4441D-15  0.0000D+00  0.0000D+00 -0.4441D-15  0.0000D+00  0.0000D+00  0.0000D+00
 PKC    -0.9070D-02 -0.3016D-01 -0.5466D-01 -0.7327D-01 -0.9094D-01 -0.1034D+00 -0.1116D+00 -0.8498D-02
CO2HY    0.2093D-07  0.2473D-07  0.3111D-09 -0.5523D-09 -0.6244D-09 -0.4764D-09 -0.2857D-09 -0.2599D-08
 TPO4    0.1360D-06  0.1308D-06  0.2017D-07  0.5297D-08 -0.1788D-08 -0.6731D-08 -0.1053D-09  0.3753D-06
 PKP     0.0000D+00 -0.2776D-16 -0.8327D-16  0.1665D-15  0.2776D-16  0.1665D-15  0.1943D-15  0.5551D-16
 UREA    0.4935D-09  0.3978D-09  0.2249D-09  0.1404D-09  0.1031D-09  0.2985D-09  0.2191D-10  0.1119D-09
 TAMM    0.5917D-06  0.4662D-07  0.3796D-07  0.6690D-08  0.1068D-07 -0.1282D-08 -0.4649D-10  0.8881D-06
 PKN     0.1332D-14  0.9326D-14  0.6661D-14 -0.7994D-14  0.1332D-14 -0.7994D-14  0.1110D-13  0.4441D-14
  H+     0.1498D-07  0.5119D-08  0.2273D-09 -0.1867D-09 -0.1553D-09 -0.1159D-09 -0.8114D-10 -0.9644D-09
TFORM    0.2877D-10  0.1012D-10  0.3166D-13 -0.2939D-12 -0.1808D-12 -0.9314D-13 -0.3920D-13  0.4804D-11
 PKF     0.0000D+00  0.0000D+00  0.0000D+00  0.0000D+00  0.0000D+00  0.0000D+00  0.0000D+00  0.0000D+00
 GLUC    0.2521D-06  0.1615D-06  0.4631D-07  0.1391D-07  0.1819D-08 -0.2783D-08 -0.1556D-10  0.6389D-06
    15  0.1114D-06

 NEPHRON FLUXES
  SLICE    0.0         1.0         2.0         3.0         4.0         5.0         6.0         7.0
 VOL   0.1942D-02  0.8811D-03  0.1633D-03  0.6915D-04  0.3497D-04  0.2756D-04  0.8134D-05  0.1062D-02
  NA   0.2977D-03  0.1702D-03  0.2919D-04  0.1224D-04  0.6189D-05  0.4695D-05  0.1594D-05  0.1483D-03
  K    0.2009D-04  0.1828D-04  0.3396D-05  0.1190D-05  0.5843D-06  0.4381D-06  0.1498D-06  0.8312D-05
  CL   0.2886D-03  0.1681D-03  0.3770D-04  0.1405D-04  0.6641D-05  0.4893D-05  0.1639D-05  0.1435D-03
 HCO3  0.2169D-04  0.2344D-04 -0.4970D-05 -0.6316D-06  0.9383D-07  0.2229D-06  0.9509D-07  0.1664D-04
H2CO3  0.3446D-07  0.4186D-07  0.6765D-08  0.4985D-09  0.6653D-10  0.3688D-09  0.1479D-09  0.1052D-06
 CO2   0.1440D-04  0.3213D-05  0.2730D-05  0.7912D-06  0.2823D-06  0.1649D-06  0.4150D-07  0.4086D-05
 HPO4  0.5609D-06 -0.4850D-06  0.9142D-07  0.5759D-07  0.3403D-07  0.1945D-07  0.7070D-08 -0.2814D-05
H2PO4  0.1788D-05  0.6761D-06  0.1584D-06  0.7213D-07  0.3620D-07  0.2053D-07  0.8007D-08  0.2928D-05
 UREA  0.5203D-05  0.2894D-05  0.2725D-05  0.5997D-06 -0.5566D-06  0.2941D-05  0.3421D-06  0.1575D-05
 NH3   0.2670D-05  0.2018D-05 -0.1108D-06  0.1241D-07  0.1714D-07  0.1597D-07  0.5958D-08  0.4807D-05
 NH4+ -0.4318D-05 -0.3458D-06  0.4020D-06  0.1392D-06  0.5376D-07  0.3743D-07  0.1106D-07 -0.4901D-05

 VESSEL FLUXES
  SLICE    0.0         1.0         2.0         3.0         4.0         5.0         6.0         7.0
 VOL  -0.1942D-02 -0.8811D-03 -0.1633D-03 -0.6915D-04 -0.3497D-04 -0.2756D-04 -0.8134D-05 -0.1062D-02
  NA  -0.2977D-03 -0.1702D-03 -0.2919D-04 -0.1224D-04 -0.6189D-05 -0.4695D-05 -0.1594D-05 -0.1483D-03
  K   -0.2009D-04 -0.1828D-04 -0.3396D-05 -0.1190D-05 -0.5844D-06 -0.4382D-06 -0.1499D-06 -0.8312D-05
  CL  -0.2923D-03 -0.1680D-03 -0.3768D-04 -0.1404D-04 -0.6643D-05 -0.4900D-05 -0.1640D-05 -0.1431D-03
 HCO3 -0.2140D-04 -0.2165D-04  0.4924D-05  0.5701D-06 -0.1419D-06 -0.2500D-06 -0.1031D-06 -0.1387D-04
H2CO3 -0.1508D-07 -0.1426D-07 -0.5473D-08 -0.3141D-08 -0.1766D-08 -0.1011D-08 -0.3412D-09 -0.8931D-08
 CO2  -0.1473D-04 -0.5053D-05 -0.2685D-05 -0.7263D-06 -0.2319D-06 -0.1367D-06 -0.3306D-07 -0.6950D-05
 HPO4 -0.1375D-05 -0.2030D-06  0.1928D-07 -0.7678D-08 -0.9164D-08 -0.5579D-08 -0.3670D-08 -0.2270D-06
H2PO4 -0.1110D-05 -0.1188D-06 -0.2892D-06 -0.1273D-06 -0.5927D-07 -0.2767D-07 -0.1130D-07 -0.2626D-06
 UREA -0.5203D-05 -0.2894D-05 -0.2725D-05 -0.5997D-06  0.5566D-06 -0.2941D-05 -0.3421D-06 -0.1575D-05
 NH3   0.8204D-06 -0.1198D-07  0.8611D-07  0.2212D-07  0.7020D-08  0.3105D-08  0.6839D-09  0.2496D-06
 NH4+  0.2359D-06 -0.1707D-05 -0.4152D-06 -0.1804D-06 -0.8860D-07 -0.5523D-07 -0.1766D-07 -0.1044D-05

  ITER=  2
           --          --          --          --          --          --          --          --      
           --          --          --          --          --      

  SLICE      1           2           3           4           5           6           7           8

 VOL     0.9984D+01  0.1143D+02 -0.1315D+01 -0.1257D+01 -0.7162D+00  0.6548D+00 -0.9356D+00  0.1014D+02
  NA     0.1576D+00  0.1715D+00  0.1748D+00  0.1764D+00  0.1770D+00  0.1772D+00  0.1819D+00  0.1440D+00
  K        --          --          --          --          --          --          --          --      
  CL     0.1422D+00  0.1604D+00  0.1736D+00  0.1778D+00  0.1796D+00  0.1805D+00  0.1854D+00  0.1261D+00
 HCO3      --          --          --          --          --          --          --          --      
H2CO3      --          --          --          --          --          --          --          --      
 CO2       --          --          --          --          --          --          --          --      
 HPO4      --          --          --          --          --          --          --          --      
H2PO4      --          --          --          --          --          --          --          --      
 UREA      --          --          --          --          --          --          --          --      
 NH3       --          --          --          --          --          --          --          --      
 NH4+      --          --          --          --          --          --          --          --      
  H+       --          --          --          --          --          --          --          --      
HCO2-      --          --          --          --          --          --          --          --      
H2CO2      --          --          --          --          --          --          --          --      
 GLUC      --          --          --          --          --          --          --          --      

        -0.6281D-01 -0.1519D-01 -0.2313D-01 -0.2812D-01 -0.1199D-01 -0.2570D-01 -0.6045D-02 -0.2736D-01
        -0.2915D-02 -0.4302D-01 -0.1470D-02 -0.4617D-01 -0.7672D-01

  SLICE      1           2           3           4           5           6           7           8

 VOL     0.3683D-11  0.2959D-11  0.8101D-10  0.2636D-10  0.8537D-11  0.3452D-11 -0.1843D-12  0.8739D-10
  NA     0.1927D-10  0.6790D-10  0.8463D-11  0.3385D-12 -0.1007D-11 -0.1028D-11 -0.1083D-11 -0.1935D-11
  K      0.1150D-08  0.5805D-08  0.1782D-09  0.1131D-09  0.7059D-10  0.4602D-10  0.2223D-10 -0.5232D-09
  CL    -0.1800D-16  0.8619D-17 -0.2277D-17  0.2578D-16  0.8674D-18 -0.3971D-17  0.9731D-17 -0.3307D-17
 TCO2   -0.4441D-15 -0.4441D-15  0.0000D+00  0.0000D+00 -0.4441D-15  0.0000D+00  0.0000D+00  0.0000D+00
 PKC    -0.9070D-02 -0.3016D-01 -0.5466D-01 -0.7327D-01 -0.9094D-01 -0.1034D+00 -0.1116D+00 -0.8498D-02
CO2HY    0.2016D-07  0.2245D-07 -0.4153D-09 -0.7969D-09 -0.7076D-09 -0.4921D-09 -0.2857D-09 -0.2093D-08
 TPO4    0.1359D-06  0.1307D-06  0.2011D-07  0.5269D-08 -0.1801D-08 -0.6735D-08 -0.1065D-09  0.3754D-06
 PKP     0.0000D+00 -0.2776D-16 -0.8327D-16  0.1665D-15  0.2776D-16  0.1665D-15  0.1943D-15  0.5551D-16
 UREA    0.1678D-09  0.8809D-10 -0.2040D-09 -0.3937D-10  0.4898D-10 -0.2182D-09 -0.6254D-11  0.1984D-09
 TAMM    0.5916D-06  0.4646D-07  0.3789D-07  0.6664D-08  0.1068D-07 -0.1283D-08 -0.4660D-10  0.8881D-06
 PKN     0.1332D-14  0.9326D-14  0.6661D-14 -0.7994D-14  0.1332D-14 -0.7994D-14  0.1110D-13  0.4441D-14
  H+     0.1417D-07  0.3247D-08 -0.4032D-09 -0.3909D-09 -0.2247D-09 -0.1309D-09 -0.8222D-10 -0.5403D-09
TFORM   -0.2853D-11 -0.1229D-10 -0.9599D-11 -0.3595D-11 -0.1229D-11 -0.3204D-12 -0.9394D-13  0.1324D-10
 PKF     0.0000D+00  0.0000D+00  0.0000D+00  0.0000D+00  0.0000D+00  0.0000D+00  0.0000D+00  0.0000D+00
 GLUC    0.2519D-06  0.1614D-06  0.4625D-07  0.1389D-07  0.1812D-08 -0.2785D-08 -0.1595D-10  0.6389D-06
    21  0.8739D-10
